Isolepis nodosa
Nototriche pulvinata
Belloa  chilensis
Cynanchum nanissimum
Dioscorea scandens
Senecio möelleri
Valeriana cordata var. dentata
Bromidium trisetoides
Ranunculus repens var. repens
Cistanthe picta var. frigida
Loasa furcata
Lotus subpinnatus
Calandrinia subverticillata
Leptocarpha rivularis
Geranium berteroanum var. caespitosum
Deyeuxia spicigera
Flourensia besseriana
Alona stenophylla
Cynanchum acutifolium
Dioscorea besseriana
Oxalis uspallatensis
Viola philippiana
Monnina linearifolia
Cristaria diversifolia fma. parvula
Arundo donax
Onuris hauthalii
Statice punicea
Tupa mucronata
Crassula paludosa
Dysphania multifida
Mimulus longipes
Plantago cantagallensis
Tepualia patagonica
Escallonia modesta
Lathyrus ovalifolius var. mucronatus
Sophia sagittata
Argythamnia berteriana var. psiladenia
Oxalis compacta
Myoporum laetum
Rumex cristatus
Aster bellidiastrum
Eugenia modesta
Anomocarpus pulvinatus
Acaena trifida var. brachyphylla
Erigeron angustifolius
Calandrinia nivalis
Phalaris coerulescens
Luzula chilensis fma. rigida
Agrostis insularis
Castilleja laciniata
Eupatorium  glechonophyllum
Deschampsia berteroana
Adesmia melanthes
Phalaris amethystina
Alstroemeria sierrae
Acaena lucida var. parvifolia
Mutisia involucrata var. consobrina
Sphacele campanulata
Adesmia stipulacea
Carex lamprocarpa var. rotundata
Ambrosia artemisioides
Alstroemeria aurea
Amelichloa brachychaeta
Gynerium quila
Haplopappus vernicosus
Alstroemeria spectabilis
Rumex hippiatricus
Sisyrinchium breviarmium
Escallonia alpina var. carmelitana
Leuceria stricta
Baccharis umbelliformis var. poeppigiana
Clarionea fonkii
Nototriche hillii
Aster notosericeus
Spergula depauperata
Splitgerbera denudata
Trifolium grandiflorum
Drynaria macrocarpa
Calandrinia sericea var. uspallatensis
Eriosyce subgibbosa subsp. subgibbosa
Lemna oblonga
Baccharis tola subsp. tola var. viscosissima
Alstroemeria araucana
Oxalis fruticula
Portulaca philippii
Embothrium valdivianum
Chloraea sceptrum
Solanum phyllanthum var. crassipes
Copiapoa eremophila
Stenodraba stenophylla
Galium valdivianum
Nassauvia darwinii var. laxa
Inula primulifolia
Senecio linariifolius var. linariifolius
Iris pseudacorus
Calceolaria hollermayeri
Fabiana deserticola
Epilobium andinum
Vicia graminea var. heterophyla
Viviania parviflora
Polypogon interruptus var. longearistata
Oxalis micrantha var. alsinoides
Aster rengifoanus
Nephrodium duriusculum
Proustia tipia
Caltha limbata
Baccharis fastigiata
Apium dunicola
Viola maculata var. microphyllos
Passiflora chilensis
Adesmia zoellneri
Austrocactus patagonicus
Asarca fimbriata
Dinemagonum gayanum
Calceolaria collina subsp. collina
Cyperus brevifolius
Oryzopsis verrucosa
Castilleja fissifolia var. pumila
Clarionea ciliaris
Solanum poeppigianum
Lycium chilense var. implexum
Plantago heterophylla
Copiapoa cinerea var. dealbata
Aster sericeus
Nothofagus alessandrii
Pozoa ranunculus
Astragalus alfalfalis
Patagonium humifusum
Arenaria minuta
Patagonium boronioides
Leucocoryne volkmanni
Astelia pumila
Alibrexia rupicola
Lepidium bipinnatifidum var. curicoanum
Trifolium microdon var. pilosum
Nassauvia revoluta var. nivalis
Azorella ruizii
Plantago uniglumis fma. maxima
Mimulus pissisi
Ephedra americana
Boopis spathulata
Cardamine kruesselii
Peperomia berteroana subsp. tristanensis
Spergularia pycnantha
Quillaja petiolaris
Callitriche berteroniana
Schizanthus carlomunnozii
Senecio prenanthifolius
Malva diminutiva
Oxalis occidentalis
Gnaphalium illapelinum var. illapelinum
Jouyella fimbriata
Collomia biflora var. lateritia
Onoseris spathulata
Hymenophyllum quadrifidum
Senecio arachnoideus
Balbisia microphylla
Euphorbia germainii
Bromus andinus
Chloraea secunda
Senecio danyausii var. intermedius
Sisyrinchium nivale
Tropaeolum tricolor var. grandiflorum
Misodendrum punctulatum var. magellanicum
Trisetum preslei var. lasianthum
Phrodus pendulus
Mutisia cana
Wahlenbergia linarioides var. arida
Ourisia antarctica
Synammia feuillei var. feuillei
Aspidium karwinskyanum
Plantago pachyrrhiza
Leucheria cumingii
Verbena echinata
Rumex asplundii
Hippeastrum pratense
Lathyrus magellanicus
Strombocarpa strombulifera
Phaca macrocarpa
Tweedia andina
Rhodophiala berteroana
Baccharis ocellata
Leucheria graui
Ceratochloa mango
Berberis marginata
Tristagma dimorphopetala
Euphorbia falcata
Aster peteroanus
Myzorrhiza chilensis
Bromus macranthos
Escallonia rubra var. glabriuscula
Descurainia stricta
Eriosyce confinis
Lasiorhiza senecioides
Echium vulgare
Senecio peraltae
Festuca deserticola var. hypsophyla
Polypogon radicans
Atropis argentinensis
Gavilea cardioglossa var. patagonica
Melica poecilantha
Diplotaxis vernalis
Buddleja capitata
Gnaphalium landbeckii
Azorella laevigata
Vicia andina
Neoporteria intermedia var. pilispina
Schinus chilensis
Silene antarctica
Patagonium leucopogon
Retanilla moelleri
Culcitium poeppigii
Viviania revoluta
Claytonia rupestris
Acetosella arbuscula
Echinospermum gracile
Eritrichium affine
Heliotropium sclerocarpum
Zephyranthes splendens
Schizanthus pinnatus var. humilis
Phoenicoseris pinnata
Ochetophila hookeriana
Oenothera magellanica
Haplopappus rengifoanus
Heterosperma involucratum
Eragrostis peruviana var. macranthera
Astragalus coquimbensis
Hypochaeris spathulata
Erigeron glabrifolius
Tupa serrata
Reicheella andicola
Luzula campestris
Haplopappus virgatus
Pernettya mucronata var. rupicola
Calycera herbacea
Valeriana castellanosii
Mutisia polyphylla
Malesherbia solanoides var. johnstonii
Urtica magellanica var. bracteata
Holostigma heterophyllum
Rorippa bonariensis
Gardoquia gilliesii
Brodiaea sessiliflora
Tristerix verticillatus
Plantago brasiliensis var. lasiothrix
Baccharis absinthioides
Pitcairnia venusta
Phycella ignea
Lippia nodiflora var. reptans
Ribes georgianum
Werneria poposa
Valeriana altoandina
Vicia sativa
Cristaria bipinnatifida
Calandrinia copiapina
Ranunculus minutus var. microphylla
Acaena glaberrima
Calceolaria meyeniana
Fallopia convolvulus
Blechnum penna-marina var. uliginosa
Stipa pogonathera
Erythraea chilensis
Nasturtium hastatum
Lepidium sativum
Paspalum minus
Copiapoa cinerascens var. grandiflora
Verbena junciformis
Pseudobaccharis spartioides
Nolana grossulifolia
Schinus dependens var. brevifolia
Chloraea spegazziniana
Patagua chilensis
Oxypetalum andinum
Bulliarda magellanica
Argemone rosea
Diplopappus foliosus
Haplopappus angustifolius subsp. saxatilis
Typha angustifolia
Junellia tridactylites
Juncus arcticus var. andicola
Copiapoa megarhiza
Anarthrophyllum umbellatum
Valeriana gilliesii
Opuntia dactylifera
Cardamine alsophila var. pusilla
Patagonium godoyae
Myrtus multiflora
Carex pedicellata
Chorizanthe densa
Acrostichum albidulum
Acetosella micrantha
Melanthium pumilum
Epilobium valdivense var. alboffii
Gnaphalium monticola
Agrostis cognata
Quinchamalium litorale
Fagus valdiviana
Baccharis longipes var. angustissima
Alstroemeria pulchra subsp. pulchra var. maxima
Tupa coquimbana
Senecio leyboldtii
Allionia ovata
Scirpus maculosus
Trichocereus litoralis
Phytolacca volubilis
Polypodium patagonicum
Hybanthus parviflorus var. argentinensis
Galium gilliesii
Oxybaphus ovatus
Chloraea chlorosticta
Misodendrum macrophyllum
Rapuntium mucronatum
Viola decipiens
Festuca chrysophylla
Geranium proximum
Baccharis caespitosa var. alpina
Elatine chilensis
Urachne chilensis
Astragalus canescens var. pissisii
Alona glandulosa
Xenophyllum lycopodioides
Monttea chilensis var. taltalensis
Draba andina
Selinum proliferum
Alstroemeria parvula
Trisetum trinii var. litorale
Cardamine flavescens
